grupo,id_carrera,carrera_abbr,Lunes,Martes,Miercoles,Jueves,Viernes
5C,99,ISET,D5 / B2,D5 / B2,D5 / B2,D5 / B4,D5 / B5
5A,371,IME,A1,P3,P1,B1,A1
5G,371,IME,P2,P4,D8 / P2,P2,P4
5H,371,IME,P4,B3,D4 / P3,B3,B3
3I,418,IMT,D4 / P3,B6,B6,B5,B1
3J,418,IMT,P1,C5 / P2,A1,A1,B7
5I,418,IMT,B5,P1,B3,B2,B6
5J,418,IMT,B6,B7,P5,P4,P5
7I,418,IMT,D6 / B4,D6 / B4,D6 / P4,D6 / B6,D6 / B2
7J,418,IMT,D7 / B3,D7 / B5,D7 / B5,D7 / B7,D7 / B4
