id_horario,id_clase,id_asignatura,es_hti,dia,periodo
848,7,120,0,Viernes,7
849,7,120,0,Viernes,8
850,9,119,0,Lunes,7
851,9,119,0,Lunes,8
852,7,119,0,Lunes,9
853,7,119,0,Martes,6
854,8,119,0,Martes,7
855,9,119,0,Miércoles,7
856,7,119,0,Miércoles,8
857,7,119,0,Miércoles,9
858,8,119,0,Jueves,6
859,8,119,0,Jueves,7
860,8,119,0,Viernes,7
861,9,119,0,Viernes,8
862,8,118,0,Martes,3
863,8,118,0,Martes,4
864,7,118,0,Martes,7
865,7,118,0,Martes,8
866,9,118,0,Miércoles,1
867,9,118,0,Miércoles,2
868,8,118,0,Jueves,1
869,8,118,0,Jueves,2
870,7,118,0,Jueves,7
871,7,118,0,Jueves,8
872,9,118,0,Viernes,1
873,9,118,0,Viernes,2
874,10,85,0,Lunes,2
875,10,85,0,Lunes,3
876,8,85,0,Lunes,4
877,8,85,0,Lunes,5
878,7,85,0,Lunes,6
879,7,85,0,Lunes,7
880,10,85,0,Martes,3
881,7,85,0,Martes,4
882,7,85,0,Martes,5
883,11,85,0,Martes,5
884,11,85,0,Martes,6
885,9,85,0,Miércoles,3
886,9,85,0,Miércoles,4
887,8,85,0,Miércoles,5
888,8,85,0,Miércoles,6
889,31,85,0,Miércoles,8
890,31,85,0,Miércoles,9
891,11,85,0,Jueves,4
892,11,85,0,Jueves,5
893,10,85,0,Jueves,7
894,10,85,0,Jueves,8
895,30,85,0,Jueves,10
896,30,85,0,Jueves,11
897,9,85,0,Viernes,5
898,9,85,0,Viernes,6
899,11,85,0,Viernes,6
900,31,85,0,Viernes,8
901,31,85,0,Viernes,9
902,30,85,0,Viernes,11
903,30,85,0,Viernes,12
904,7,86,0,Lunes,1
905,7,86,0,Lunes,2
906,9,86,0,Lunes,5
907,8,86,0,Lunes,6
908,8,86,0,Lunes,7
909,9,86,0,Martes,3
910,9,86,0,Martes,4
911,8,86,0,Martes,5
912,8,86,0,Martes,6
913,10,86,0,Miércoles,1
914,10,86,0,Miércoles,2
915,11,86,0,Miércoles,3
916,7,86,0,Miércoles,4
917,11,86,0,Miércoles,4
918,8,86,0,Miércoles,8
919,10,86,0,Jueves,3
920,10,86,0,Jueves,4
921,7,86,0,Jueves,5
922,9,86,0,Jueves,5
923,7,86,0,Jueves,6
924,9,86,0,Jueves,6
925,11,86,0,Viernes,4
926,11,86,0,Viernes,5
927,2,117,0,Lunes,1
928,2,117,0,Lunes,2
929,3,117,0,Lunes,2
930,1,117,0,Lunes,3
931,1,117,0,Miércoles,1
932,1,117,0,Miércoles,2
933,2,117,0,Miércoles,3
934,3,117,0,Jueves,1
935,3,117,0,Jueves,2
936,1,116,0,Lunes,6
937,1,116,0,Martes,1
938,1,116,0,Martes,2
939,3,116,0,Martes,4
940,3,116,0,Martes,5
941,2,116,0,Martes,7
942,3,116,0,Miércoles,2
943,1,116,0,Miércoles,3
944,1,116,0,Miércoles,4
945,3,116,0,Jueves,3
946,3,116,0,Jueves,4
947,2,116,0,Jueves,6
948,2,116,0,Jueves,7
949,2,116,0,Viernes,5
950,2,116,0,Viernes,6
951,1,3,0,Martes,3
952,1,3,0,Martes,4
953,2,3,0,Martes,4
954,2,3,0,Martes,5
955,3,3,0,Martes,6
956,3,3,0,Martes,7
957,1,3,0,Miércoles,5
958,3,3,0,Miércoles,5
959,2,3,0,Miércoles,8
960,2,3,0,Miércoles,9
961,3,3,0,Jueves,7
962,3,3,0,Jueves,8
963,1,3,0,Viernes,3
964,1,3,0,Viernes,4
965,2,3,0,Viernes,9
966,2,114,0,Lunes,5
967,2,114,0,Lunes,6
968,1,114,0,Martes,5
969,1,114,0,Martes,6
970,3,114,0,Miércoles,3
971,3,114,0,Miércoles,4
972,2,114,0,Miércoles,6
973,1,114,0,Jueves,3
974,1,114,0,Jueves,4
975,3,114,0,Jueves,5
